utter,intent
ආයෙත් පාරක්  ට්‍රයි කිරීමට ඕන,6
නෑ,7
නැත,7
නැහැ,7
නෑ ඕන නෑ,7
ඇති,7
නැහැ ඕන නෑ,7
ආයෙත් උත්සහ කරන්න ඕන නැහැ,7
උත්සහ කරන්න ඕන නැහැ,7
ආයිත් ට්‍රයි කරන්න ඕන නැත,7
ට්‍රයි කරන්න ඕන නැත,7
නැවත උත්සහ කරන්න අවශ්‍ය නැත,7
තව දුරටත් ඉස්සරහට යන්න ඕන නෑ,7
තව ට්‍රයි එකක් ඕන නැත,7
නැවත උත්සහ කිරීමට අනවශ්‍යයි,7
නැවත උත්සහ කරන්න එපා,7
ආයිත් කරන්න ඕන නැත,7
හරි,8
තොරතුරු හරි,8
තොරතුරු නිවැරදියි,8
ඒක හරි,8
ඔව් ඔක්කොම නිවැරදියි,8
ඔක්කොම නිවැරදියි,8
ඔව් නිවැරදියි,8
නිවැරදියි,8
ඔක්කොම හරි ,8
ඉහත තොරතුරු නිවැරදියි,8
ඉහත තොරතුරු හරි ,8
ඔව් හරි,8
මගේ ඩීටේයිල්ස් හරි,8
ඩීටේයිල්ස් හරි,8
මේ ඩීටේයිල්ස් හරි,8
විස්තර ඕකේ,8
මේ ඉන්ෆොමේෂන් හරි,8
තොරතුරු වැරදියි,9
වැරදියි,9
නෑ වැරදියි,9
නෑ,9
ඔව් වැරදියි,9
ඒ තොරතුරු වැරදියි,9
මේ තොරතුරු වැරදි කියල සනාථ කරනවා,9
වැරදි කියල සනාථ කරනවා,9
තොරතුරු වැරදි බව සනාථ කරන්න ඕන,9
වැරදි බව සනාථ කරන්න ඕන,9
ඔය තොරතුරු වැරදියි,9
මේ විස්තර වැරදියි,9
ඩීටේයිල්ස් වල වැරැද්දක් තියනවා,9
ඕක වැරදියි,9
වැරැද්දක් තියනවා,9
තොරතුරු වල වැරැද්දක් තියනවා,9
වැරදි තොරතුරු,9
ඔව් විවෘත කරන්න,10
විවෘත කරන්න,10
ඔව්,10
ඔව් ගිණුම විවෘත කරන්න,10
ගිණුම විවෘත කරන්න,10
තහවුරු කරනවා,10
ඔව් තහවුරු කරනවා,10
ගිණුම විවෘත කිරීම තහවුරු කරනවා,10
ඔව් ගිණුම විවෘත කිරීම තහවුරු කරනවා,10
ගිණුම විවෘත කරන්න ඕන,10
තහවුරු කරන්න ඕන,10
ඔව් ගිණුම විවෘත කිරීම කරන්න ඕන,10
තහවුරු කරන්න ඕන,10
කරගෙන යන්න,10
කාර්ය නතර කරන්න,11
නතර කරන්න,11
නවත්තන්න,11
ගිණුම විවෘත කිරීම නතර කරන්න,11
ගිණුම විවෘත කිරීම නවත්තන්න,11
දැන් මේ වැඩේ නතර කරන්න ඕන,11
වැඩේ නතර කරන්න ඕන,11
මට නවත්තන්න ඕන,11
නවත්තන්න ඕන,11
ඇති,11
වැඩේ නවත්තනවා,11
මට මේක නවතලා දාන්න ඕන,11
මාස තුනයි,12
මාස හයයි,12
මාස දොළහයි,12
මාස තුන,12
මාස හය,12
මාස දොළහ,12
කල් පිරීමේදී,13
පොළිය කල් පිරීමේදී ගන්නවා,13
කල් පිරුනම ලබා ගන්නවා,13
කල් පිරුනම,13
කල් පිරීමේදී ගන්නවා,13
කල් පිරීමේදී ලබාගන්න ඕන,13
කල් පිරුනම  ලබාගන්න ඕන,13
මාසිකව ලබා ගන්නවා,14
පොළිය මාසිකව ලබා ගන්නවා,14
මාසිකව ලබාගන්න ඕන,14
මාසිකව ගන්නවා,14
මාසිකව,14
පොළිය මාසිකව ලබාගන්න ඕන,14
මාසිකව පොළිය ගන්නවා,14
